Source,Target,Type
МОЭК проводил раскопки ничего после себя не восстановил помял ограждения снятые ограждения на место не вернули,МОЭК,directed
МОЭК,проводил,directed
Вагончики освещаются электричеством от дома 10 к1,Вагончики,directed
Вагончики,освещаются,directed
Бабулька продаёт носки и спуска от метро к киноцентру,Бабулька,directed
Бабулька,продаёт,directed
Поэтому Застройщик использует наш двор как свою стройплощадку о которой нет никаких вывесок,Застройщик,directed
Застройщик,использует,directed
Под мостом между метро Спортивная и мцк торгуют одеждой утром не было днем уже появились,Спортивная,directed
Спортивная,торгуют,directed
Тротуара был сделан в прошлом году и теперь выглядит так,Тротуара,directed
Тротуара,сделан,directed
Стройтехника разбила дорогу и слой грязи такой что становится невозможным добраться до общ транспорта а другой дороги нет,Стройтехника,directed
Стройтехника,разбила,directed
Сосульки с руку висят над тротуаром,Сосульки,directed
Сосульки,висят,directed
Растяжка раположена на ограждении проезжей части и тротуара перед входом в подземный переход,Растяжка,directed
Растяжка,раположена,directed
Мосводоканалпосле проведённых работоставил асфальт в ужасном состояниисейчас образовалась огромная дырапроехать не возможноnНекачественно положили асфальтпосле работnПроблемный участок под балконами дома 34 корпус 1по улице чертановскаяна выезде,Мосводоканалпосле,directed
Мосводоканалпосле,работоставил,directed
Навалы грунта непонятного происхождения пролежали здесь все дето и продолжают лежать,Навалы,directed
Навалы,пролежали,directed
Бомжи там устроили себе туалет а наши дети ходят в школу мимо этих развалин,Бомжи,directed
Бомжи,устроили,directed
Глина растекается по всей территории,Глина,directed
Глина,растекается,directed
Контейнернакопитель остался на месте,Контейнернакопитель,directed
Контейнернакопитель,остался,directed
Асфальт положен с частичными неровностями,Асфальт,directed
Асфальт,положен,directed
Яма при выезде на каскадную в прошлом году уже засыпали отходами асфальта  без должного результата прошу именно заасфальтировать,Яма,directed
Яма,засыпали,directed
Котлован разрыт уже очень долгое время,Котлован,directed
Котлован,разрыт,directed
На сегодняшний день на месте ремонтных работ АБП имеет провалы,АБП,directed
АБП,имеет,directed
ОИВ не выявили никаких проблем и опровергли мое сообщение,ОИВ,directed
ОИВ,не выявили,directed
Ветошь относится к 4 классу опасности он хоть и малоопасен но влияет на загрязнение окружающей среды,Ветошь,directed
Ветошь,относится,directed
Гравий раскидывается по дороге техникой и пешеходами,Гравий,directed
Гравий,раскидывается,directed
Асфальт деформировался после окончания ремонта изза провала грунта под ним,Асфальт,directed
Асфальт,деформировался,directed
Мосгаз не уложился в установленные сроки проведения реконструкции в связи с этим занимает место на общественной парковкесогласно вывеске дата окончания работ151114,Мосгаз,directed
Мосгаз,не уложился,directed
Штендер с рекламой разливных напитков прикреплен цепью к дереву,Штендер,directed
Штендер,прикреплен,directed
Газзон уничтожен тракторами и самосвалами,Газзон,directed
Газзон,уничтожен,directed
Графитчики отметились черным маркером на здании возле ворот клиники,Графитчики,directed
Графитчики,отметились,directed
Земля с него во время дождя попадает на пешеходную зону и проезжую часть,Земля,directed
Земля,попадает,directed
Там постоянно ходят дети а Вы такую работу признаете удовлетворительной,Вы,directed
Вы,признаете,directed
Асфальт после ремонтных работ на теплотрассе провалился с одной стороны на полметра и продолжает проседать напротив угла дома и подъезда 2,Асфальт,directed
Асфальт,провалился,directed
Пятёрочка не следит за своими мусорками в итоге это превратилось в свалку,Пятёрочка,directed
Пятёрочка,не следит,directed
Промоина таким образом образовалась в основании лестницы  лужа заполнила всю ширину подхода,Промоина,directed
Промоина,образовалась,directed
Яма не закопана несмотря на то что работы закончены 30 марта,Яма,directed
Яма,не закопана,directed
МИСК проводя работы на территории природного заказника Долина реки Сетунь сломало тяжёлой техникой деревянный настил от,МИСК,directed
МИСК,проводя,directed
МИСК выполняя работы по строительству регулярно нарушает правила вынося грунт со стройки на Проектируемый 726й проезд на который выходят четыре выездаnМаршрутом пользуются как местные жители так и сотрудники бизнес центра,МИСК,directed
МИСК,выполняя,directed
После прокладки коммуникаций при строительстве метро Озерная не приведена в порядок прилегающая территория,Озерная,directed
Озерная,не приведена,directed
